I_D,FLAG_TSUNAMI,YEAR,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
1423,,1775,,CROATIA,46,15.9,130,,,,,,,,,,,,
5921,Tsu,1775,,HAITI,19,-72.4,90,,,,,,,,3,,,,
1424,,1775,,VENEZUELA,9.2,-70.3,160,,,,,,,,,,,,
1425,,1776,,DOMINICAN REPUBLIC,19,-70.4,90,,,,,,,,,,,,
1426,,1776,,MEXICO,16.7,-99.2,150,,,,,,,,,,,,
1429,,1776,5.5,TAIWAN,23.5,120.6,30,,3,,,,,,2,,2,,
1431,,1777,,MOROCCO,35.5,-5.4,15,,,,,,,,,,,,
1430,,1777,,MEXICO,20.3,-103.7,150,,,,,,,,,,,,
1432,,1778,,IRAN,33.6,51.3,140,,,,,,,,,,,,
1433,,1778,,TURKEY,38.5,27,140,,,,,,,,,,,,
1434,,1778,,IRAN,33.9,51.3,140,,,,,,,,,,,,
1436,,1779,6.5,IRAN,38,46.7,140,,,,,,,,,,,,
1439,,1780,7.7,IRAN,38,46.2,140,50000,4,,,,,,4,,4,,
1442,Tsu,1780,7.5,RUSSIA,45.3,151.2,50,12,1,,,,,,1,,1,,
1443,,1780,,MONTENEGRO,42.4,18.8,130,,,,,,,,,,,,
1445,Tsu,1780,,JAMAICA,18.2,-78.1,90,,,,,,,,,,,,
1446,,1780,,GREECE,35,25.8,130,,,,,,,,,,,,
1448,,1781,,ITALY,43.6,13.5,130,,,,,,,,,,,,
1450,Tsu,1781,,JAMAICA,18.1,-77.3,90,,,,,,,,,,,,
1447,,1781,,IRAQ,36.3,43.1,140,80,2,,,,,,2,,,,
5923,Tsu,1782,,TAIWAN,24.5,120.5,30,40000,4,,,,,,3,,3,,
5924,Tsu,1782,7.3,JAPAN,35.1,139.7,30,,3,,,,,,3,1000,3,,
1459,Tsu,1783,,ITALY,38.9,17.1,130,,,,,,,,,,,,
1455,Tsu,1783,6.9,ITALY,38.3,15.967,130,30000,4,,,,,,4,,4,,
1462,Tsu,1783,5.9,ITALY,38.217,15.633,130,1500,4,,,,,,,,,,
8248,Tsu,1783,6.6,ITALY,38.583,16.2,130,,,,,,,,3,,3,,
8249,,1783,,ITALY,38.2,15.55,130,,,,,,,,3,,3,,
1463,Tsu,1783,5.9,ITALY,38.767,16.3,130,,,,,,,,3,,3,,
1464,,1783,,TURKEY,38.7,30.7,140,,,,,,,,,,,,
1467,Tsu,1783,6.9,ITALY,38.783,16.467,130,,3,,,,,,3,,3,,
1468,,1783,,ITALY,38.3,16.3,130,,,,,,,,3,,3,,
1452,,1783,,DOMINICAN REPUBLIC,19.3,-70.4,90,,,,,,,,,,,,
